id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
11,locking,Pessimistic row locking,Lock selected rows for critical concurrent updates,Inventory booking wallet balance and single resource scheduling,Can reduce throughput and deadlock if overused,Use select for update in short transactions with stable lock ordering,row lock select for update inventory booking,PostgreSQL Explicit Locking,https://architecture.example.com/pattern/pessimistic-row-locking,engineering-blog,2026-05-04,any,any,medium,medium
12,read-replica,Read replica routing,Send safe read traffic to replicas to reduce primary load,Read-heavy applications dashboards and reports,Replica lag can return stale data,Keep read-your-write flows on primary and expose lag metrics,read replica lag primary dashboard report,PostgreSQL Replication,https://architecture.example.com/pattern/read-replica-routing,engineering-blog,2026-05-04,any,any,medium,medium
13,soft-delete,Soft delete with lifecycle policy,Mark records deleted instead of immediate physical deletion,User data recovery audit requirements and compliance workflows,Can complicate uniqueness and query filters,Add deleted_at filters partial indexes and purge policy,soft delete deleted_at audit recovery,PostgreSQL Partial Index,https://architecture.example.com/pattern/soft-delete-with-lifecycle-policy,engineering-blog,2026-05-04,any,any,medium,medium
14,ledger,Append-only ledger,Represent money or points as immutable debit credit entries,Payments wallets credits subscriptions and accounting,Queries require aggregation or snapshots,Never update balances alone derive from entries and reconcile,ledger append only balance payment accounting,Stripe Ledger Patterns,https://architecture.example.com/pattern/append-only-ledger,engineering-blog,2026-05-04,any,any,medium,medium
15,search,Search index projection,Project searchable data into Elasticsearch OpenSearch or Meilisearch,Full-text search faceting and typo tolerance,Index can lag source of truth,Use database as source of truth and rebuildable projections,search index elasticsearch opensearch projection,Elasticsearch,https://architecture.example.com/pattern/search-index-projection,engineering-blog,2026-05-04,any,any,medium,medium
16,backup,Restore-tested backups,Backups are validated by regular restore drills,Any production data store,Restore tests consume time and storage,Automate restore verification and document RPO RTO,backup restore rpo rto database disaster recovery,PostgreSQL Backup,https://architecture.example.com/pattern/restore-tested-backups,engineering-blog,2026-05-04,any,any,medium,medium
17,modeling,Aggregate boundary,Group data changes around domain aggregates,Domain-driven systems orders accounts inventory and booking,Wrong boundaries cause large transactions or weak invariants,Define aggregate root and enforce invariants in service layer,aggregate boundary ddd transaction,Domain Driven Design,https://architecture.example.com/pattern/aggregate-boundary,engineering-blog,2026-05-04,any,any,medium,medium
18,modeling,Reference data table,Store stable controlled values as data not enums in code,Configurable product categories countries plans and statuses,Overuse creates joins for simple constants,Use when values change without deploy or need metadata,reference data lookup table status,Database Design,https://architecture.example.com/pattern/reference-data-table,engineering-blog,2026-05-04,any,any,medium,medium
19,modeling,Temporal table,Track historical state over time,Audit history pricing policies and compliance records,Queries become more complex,Use valid_from valid_to or database temporal features,temporal history audit valid_from,SQL Server Temporal,https://architecture.example.com/pattern/temporal-table,engineering-blog,2026-05-04,any,any,medium,medium
20,modeling,Immutable event table,Store facts as append-only events,Audit trails event sourcing and integrations,Requires projections for current state,Append only with event type aggregate id version and metadata,event table append only event sourcing,Event Sourcing,https://architecture.example.com/pattern/immutable-event-table,engineering-blog,2026-05-04,any,any,medium,medium
21,query,Keyset pagination index,Support cursor pagination with stable index,List endpoints over large tables,Requires deterministic ordering,Index order columns plus primary key tie breaker,keyset pagination index cursor,Use The Index Luke,https://architecture.example.com/pattern/keyset-pagination-index,engineering-blog,2026-05-04,any,any,medium,medium
22,query,Covering index,Serve query from index without table lookup,High-traffic read endpoints and narrow projections,More storage and slower writes,Include selected columns only when query is hot,covering index include query performance,PostgreSQL Indexes,https://architecture.example.com/pattern/covering-index,engineering-blog,2026-05-04,any,any,medium,medium
23,query,Partial index,Index a filtered subset of rows,Soft deletes active records and status filtered queries,Only helps queries matching predicate,Create partial indexes for common predicates like deleted_at is null,partial index soft delete active,PostgreSQL Partial Index,https://architecture.example.com/pattern/partial-index,engineering-blog,2026-05-04,any,any,medium,medium
24,query,Materialized view,Precompute expensive read queries,Dashboards reporting and expensive aggregations,Refresh lag and storage overhead,Refresh on schedule or event and expose freshness,materialized view dashboard aggregate,PostgreSQL Materialized View,https://architecture.example.com/pattern/materialized-view,engineering-blog,2026-05-04,any,any,medium,medium
25,consistency,Unique idempotency table,Store idempotency keys with request hash and result,Payment checkout import and webhook writes,Requires retention cleanup,Use unique key per actor operation and replay stored response,idempotency table unique request hash,Stripe Idempotency,https://architecture.example.com/pattern/unique-idempotency-table,engineering-blog,2026-05-04,any,any,medium,medium
26,consistency,Advisory lock,Coordinate application-level critical section in database,Rare scheduled jobs and per-resource mutual exclusion,Can deadlock or leak if misused,Use transaction-scoped advisory locks and timeout,advisory lock postgres job concurrency,PostgreSQL Advisory Locks,https://architecture.example.com/pattern/advisory-lock,engineering-blog,2026-05-04,any,any,medium,medium
27,consistency,Serializable transaction retry,Guarantee correctness under high concurrency,Financial ledgers inventory and booking conflicts,Retries can increase latency,Use serializable isolation with bounded retry loop,serializable isolation retry transaction,PostgreSQL Isolation,https://architecture.example.com/pattern/serializable-transaction-retry,engineering-blog,2026-05-04,any,any,medium,medium
28,scale,Connection pool sizing,Prevent database overload and request queue collapse,Every production service using relational databases,Too many connections hurt database performance,Size pools per instance and total cluster capacity,connection pool database sizing,PostgreSQL Wiki,https://architecture.example.com/pattern/connection-pool-sizing,engineering-blog,2026-05-04,any,any,medium,medium
29,scale,Connection proxy,Share database connections across serverless or many app instances,Serverless high instance counts and bursty workloads,Adds network hop and proxy dependency,Use PgBouncer or managed proxy with transaction pooling,pgbouncer connection proxy serverless, PgBouncer,https://architecture.example.com/pattern/connection-proxy,engineering-blog,2026-05-04,any,any,medium,medium
30,scale,Hot partition avoidance,Prevent one key from receiving most reads or writes,Multi-tenant SaaS queues counters and time-series tables,Requires key design and sometimes bucketing,Shard hot tenants or bucket high-write keys,hot partition tenant shard bucket,DynamoDB Design,https://architecture.example.com/pattern/hot-partition-avoidance,engineering-blog,2026-05-04,any,any,medium,medium
31,analytics,OLTP OLAP separation,Keep transactional and analytical workloads separate,Apps with reports BI and large scans,Data pipelines introduce lag,Replicate to warehouse or read replica for analytics,oltp olap warehouse report,Data Warehouse Toolkit,https://architecture.example.com/pattern/oltp-olap-separation,engineering-blog,2026-05-04,any,any,medium,medium
32,analytics,CDC replication,Stream database changes to downstream systems,Search indexing analytics cache invalidation and integrations,Schema changes and ordering need care,Use CDC connector and schema evolution policy,cdc change data capture debezium,Debezium,https://architecture.example.com/pattern/cdc-replication,engineering-blog,2026-05-04,any,any,medium,medium
33,privacy,PII classification columns,Mark and control sensitive fields in schema,Regulated domains and privacy programs,Requires process and tooling,Document sensitivity retention encryption and logging policy per field,pii classification schema privacy,GDPR,https://architecture.example.com/pattern/pii-classification-columns,engineering-blog,2026-05-04,any,any,medium,medium
34,privacy,Data retention purge job,Delete or anonymize data according to retention policy,Compliance privacy and storage control,Deletion can break audits if not modeled,Define retention per table and run auditable purge jobs,data retention purge gdpr privacy,GDPR,https://architecture.example.com/pattern/data-retention-purge-job,engineering-blog,2026-05-04,any,any,medium,medium
35,operations,Online backfill,Backfill large tables without locking production,Schema migrations derived columns and denormalization,Backfill can compete with live workload,Process in chunks with checkpoints throttling and resume,backfill migration chunk online,Strong Migrations,https://architecture.example.com/pattern/online-backfill,engineering-blog,2026-05-04,any,any,medium,medium
36,operations,Migration lock timeout,Fail migrations instead of blocking production traffic,Production relational schema changes,Requires retry and migration review,Set lock timeout statement timeout and avoid long table rewrites,migration lock timeout ddl,PostgreSQL DDL,https://architecture.example.com/pattern/migration-lock-timeout,engineering-blog,2026-05-04,any,any,medium,medium
37,integrity,Foreign key cascade discipline,Use cascades deliberately for lifecycle-owned data,Parent-child records with clear ownership,Accidental cascade can delete too much data,Prefer restrict for critical records and document cascade ownership,foreign key cascade restrict integrity,PostgreSQL Constraints,https://architecture.example.com/pattern/foreign-key-cascade-discipline,engineering-blog,2026-05-04,any,any,medium,medium
38,integrity,Optimistic unique create,Use unique constraints to handle concurrent create races,Slug username invite and membership creation,Requires mapping constraint errors to domain errors,Insert and catch unique violation instead of precheck only,unique race condition create slug,PostgreSQL Constraints,https://architecture.example.com/pattern/optimistic-unique-create,engineering-blog,2026-05-04,any,any,medium,medium
39,testing,Migration smoke test,Apply migrations against realistic schema in CI,Teams shipping frequent database changes,Needs seeded schema snapshots,Run migrate up and basic query smoke before deploy,migration test ci schema,Flyway,https://architecture.example.com/pattern/migration-smoke-test,engineering-blog,2026-05-04,any,any,medium,medium
40,testing,Query plan regression check,Detect query plan or index regressions before production,Critical high-volume endpoints,Plans vary across data distributions,Store representative explain plans and watch row estimates,explain query plan regression,PostgreSQL EXPLAIN,https://architecture.example.com/pattern/query-plan-regression-check,engineering-blog,2026-05-04,any,any,medium,medium
