id,severity,name,bad_example,why_bad,good_example,keywords,references,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
42,MEDIUM,In-memory session only,sessions stored in process memory on multi-instance app,Users are logged out or routed inconsistently across instances,Use shared session store or stateless token with revocation strategy,session memory multi instance redis,OWASP Session,https://architecture.example.com/pattern/in-memory-session-only,engineering-blog,2026-05-04,extreme,low,high,medium
43,HIGH,Serverless connection storm,new database pool per invocation without proxy,Database connection limits are exhausted under burst,Use connection proxy and reuse clients where runtime allows,serverless db connection pool proxy,PgBouncer,https://architecture.example.com/pattern/serverless-connection-storm,engineering-blog,2026-05-04,high,medium,low,low
44,MEDIUM,No schema migration rollback plan,deploy migration with no tested recovery,Failed migration can prolong outage,Use backward-compatible migrations and tested restore or rollback plan,migration rollback deploy,Strong Migrations,https://architecture.example.com/pattern/no-schema-migration-rollback-plan,engineering-blog,2026-05-04,low,high,high,high
45,HIGH,Unsafe deserialization,deserialize user supplied object into runtime type,Can trigger remote code execution or object injection,Use safe formats and explicit schemas,deserialization rce object injection,OWASP Deserialization,https://architecture.example.com/pattern/unsafe-deserialization,engineering-blog,2026-05-04,low,high,high,high
46,MEDIUM,Overbroad service token,integration token has full admin access,Compromise gives attacker excessive permissions,Issue scoped tokens per integration and rotate them,service token scope least privilege,OAuth,https://architecture.example.com/pattern/overbroad-service-token,engineering-blog,2026-05-04,low,high,high,high
47,HIGH,No rate limit on login,POST /login unlimited attempts,Enables brute force and credential stuffing,Rate limit by account IP and device with abuse monitoring,login brute force rate limit,OWASP Authentication,https://architecture.example.com/pattern/no-rate-limit-on-login,engineering-blog,2026-05-04,low,high,high,high
48,MEDIUM,Silent degraded mode,fallback used for days with no alert,Users get stale or reduced results without operator awareness,Emit metric and alert when fallback is active,fallback alert degraded mode,SRE Workbook,https://architecture.example.com/pattern/silent-degraded-mode,engineering-blog,2026-05-04,low,high,high,high
49,MEDIUM,No clock tolerance for webhook,reject all webhooks if server clock drifts,Valid events fail during clock skew,Use NTP and a bounded timestamp tolerance,webhook timestamp clock skew,Stripe Webhooks,https://architecture.example.com/pattern/no-clock-tolerance-for-webhook,engineering-blog,2026-05-04,low,high,high,high
50,HIGH,Raw exception in queue consumer,consumer crashes and drops message after exception,Messages can be lost or retried without context,Catch classify retry or DLQ with structured error context,queue exception dlq retry,Enterprise Integration Patterns,https://architecture.example.com/pattern/raw-exception-in-queue-consumer,engineering-blog,2026-05-04,low,high,high,high
51,HIGH,Leaky S3/Storage Bucket,Public write/read on sensitive bucket,Leaks user PII or allows malware injection,Use signed URLs and private-by-default buckets,s3 bucket leak pii storage,AWS Security,https://architecture.example.com/pattern/leaky-s3/storage-bucket,engineering-blog,2026-05-04,low,high,high,high
52,MEDIUM,Missing TTL on Temp Data,Storing verification codes forever,Consumes storage and allows long-lived brute force,Set TTL or explicit delete after use,ttl redis temp data expiry,Redis,https://architecture.example.com/pattern/missing-ttl-on-temp-data,engineering-blog,2026-05-04,low,high,high,high
53,HIGH,Circular DB Dependencies,Table A depends on B depends on A,Causes deadlocks and complex migration logic,Refactor into shared services or base tables,deadlock circular dependency database,PostgreSQL,https://architecture.example.com/pattern/circular-db-dependencies,engineering-blog,2026-05-04,low,high,high,high
54,MEDIUM,Batch Memory Exhaustion,Loading 1M rows into memory for processing,Causes OOM and instability,Use cursor streams or small batches,oom batch memory stream,Node.js Streams,https://architecture.example.com/pattern/batch-memory-exhaustion,engineering-blog,2026-05-04,low,high,high,high
55,HIGH,Unordered Message Processing,Processing user delete before create,Causes inconsistent state or errors,Use sequence IDs or ordered queues like Kafka partition keys,kafka order sequence message,Kafka,https://architecture.example.com/pattern/unordered-message-processing,engineering-blog,2026-05-04,low,high,high,high
56,HIGH,Infinite Webhook Loop,A webhook handler triggers an action that causes the same webhook to fire,Infinite loop that exhausts resources and API quotas,Use event IDs distinct action flags or source tracking to break loops,webhook loop recursion api quota,Stripe Webhooks,https://architecture.example.com/pattern/infinite-webhook-loop,engineering-blog,2026-05-04,low,high,high,high
57,CRITICAL,Unverified External Identity,Trusting a managed provider token without signature or issuer check,Attackers can forge identity and bypass authentication,Verify JWT issuer audience and signature against the provider's JWKS,identity forgery oidc jwt verification,Auth0 Docs,https://architecture.example.com/pattern/unverified-external-identity,engineering-blog,2026-05-04,low,high,high,high
58,HIGH,Missing External Circuit Breaker,Continuously calling a failing third-party API,Cascading failure that hangs backend threads or workers,Implement circuit breaker to fast-fail external calls when error threshold is met,circuit breaker external api resilience,Netflix Hystrix,https://architecture.example.com/pattern/missing-external-circuit-breaker,engineering-blog,2026-05-04,low,high,high,high
59,CRITICAL,Hardcoded API Provider Credentials,Storing Stripe/OpenAI keys in plaintext configuration files,Leaked keys allow attackers to charge accounts or steal data,Use secure secret management (KMS/Vault) or encrypted environment variables,api key secret security kms,OWASP ASVS,https://architecture.example.com/pattern/hardcoded-api-provider-credentials,engineering-blog,2026-05-04,low,high,high,high
60,MEDIUM,Stale Search Index,Database and Search Engine (Algolia) out of sync after partial failure,Users see deleted data or cannot find new data,Use transactional outbox or Change Data Capture (CDC) to ensure consistent index updates,search sync algolia data consistency,Algolia Documentation,https://architecture.example.com/pattern/stale-search-index,engineering-blog,2026-05-04,low,high,high,high
