stack,category,guideline,do,dont,notes,keywords,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
dotnet,observability,OpenTelemetry integration,Instrument ASP.NET Core EF Core HTTP clients and queues,Do not depend only on text logs,Propagate trace context across services,dotnet opentelemetry aspnet efcore,https://architecture.example.com/pattern/opentelemetry-integration,engineering-blog,2026-05-04,any,any,medium,medium
rails,structure,Controllers services repositories,Use thin controllers with service objects and repository/query objects for complex reads,Do not put orchestration into ActiveRecord callbacks,Wrap multi-write workflows in transactions,rails service object activerecord transaction,https://architecture.example.com/pattern/controllers-services-repositories,engineering-blog,2026-05-04,any,any,medium,medium
phoenix,structure,Contexts with explicit boundaries,Use Phoenix contexts to isolate domain logic and Ecto schemas per bounded context,Do not put business rules directly in controllers or channels,Keep context APIs stable for testability,phoenix context ecto controller boundary,https://architecture.example.com/pattern/contexts-with-explicit-boundaries,engineering-blog,2026-05-04,any,any,medium,medium
hono,structure,Composable middleware and service modules,Use Hono middleware for auth validation and trace IDs then call service modules,Do not combine validation persistence and transport concerns in route handlers,Keep adapters for runtime specific APIs,hono middleware service edge api,https://architecture.example.com/pattern/composable-middleware-and-service-modules,engineering-blog,2026-05-04,any,any,medium,medium
bun,runtime,Bun API with explicit infrastructure boundary,Use Bun runtime speed for transport and keep business logic in framework-agnostic services,Do not couple core domain logic to Bun-specific globals,Add integration tests for Bun APIs and Node interop assumptions,bun runtime service boundary testing,https://architecture.example.com/pattern/bun-api-with-explicit-infrastructure-boundary,engineering-blog,2026-05-04,any,any,medium,medium
actix,structure,Actix handlers plus application services,Use handlers for transport and call services for orchestration with repository traits,Do not hold DB connections across await points without pool discipline,Map domain errors to structured HTTP problem responses,actix rust service handler repository,https://architecture.example.com/pattern/actix-handlers-plus-application-services,engineering-blog,2026-05-04,any,any,medium,medium
axum,structure,Router extractors services,Use extractors for typed input and pass validated models to async services,Do not place heavy business logic in handlers,Propagate tracing span and request IDs across async boundaries,axum rust extractor service tracing,https://architecture.example.com/pattern/router-extractors-services,engineering-blog,2026-05-04,any,any,medium,medium
ktor,structure,Routing plugins services,Use Ktor plugins for auth validation serialization and call service classes for workflows,Do not put transaction and integration orchestration in route blocks,Keep coroutine context cancellation and timeout boundaries explicit,ktor kotlin plugin service coroutine,https://architecture.example.com/pattern/routing-plugins-services,engineering-blog,2026-05-04,any,any,medium,medium
rust-rocket,structure,Fairings and Request Guards,Use request guards for auth/validation and fairings for middleware,Do not place business logic in fairings,Rocket DI is very type-safe,rust rocket fairing guard,https://architecture.example.com/pattern/fairings-and-request-guards,engineering-blog,2026-05-04,any,any,medium,medium
micronaut,structure,Controllers and Beans,Use declarative clients and beans for services,Do not block Netty event loop,Micronaut uses AOT for fast startup,micronaut java controller bean,https://architecture.example.com/pattern/controllers-and-beans,engineering-blog,2026-05-04,any,any,medium,medium
quarkus,structure,Resource and Service,Use CDI beans and RESTEasy Reactive for performance,Do not use blocking libraries on the event loop,Quarkus is optimized for GraalVM,quarkus java resource service,https://architecture.example.com/pattern/resource-and-service,engineering-blog,2026-05-04,any,any,medium,medium
flask,structure,Blueprints and Services,Use Blueprints for modularity and separate services for logic,Do not use global g for business data,Flask is lightweight and flexible,flask python blueprint service,https://architecture.example.com/pattern/blueprints-and-services,engineering-blog,2026-05-04,any,any,medium,medium
sinatra,structure,Routes and Helpers,Use separate modules for complex logic and keep routes thin,Do not put all logic in the main app file,Sinatra is great for microservices,sinatra ruby route helper,https://architecture.example.com/pattern/routes-and-helpers,engineering-blog,2026-05-04,any,any,medium,medium
