id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
18,pattern,Event schema registry,Manage event compatibility across producers and consumers,Kafka streams shared event platforms and analytics,Requires governance,Version schemas and enforce backward compatibility,event schema registry kafka compatibility,Confluent Schema Registry,https://architecture.example.com/pattern/event-schema-registry,engineering-blog,2026-05-04,any,any,medium,medium
19,pattern,Consumer group scaling,Scale event consumers horizontally with partitions,Kafka high-throughput event handling,Parallelism limited by partition count,Choose partition key and count from throughput and ordering needs,consumer group kafka partition scale,Apache Kafka,https://architecture.example.com/pattern/consumer-group-scaling,engineering-blog,2026-05-04,any,any,medium,medium
20,pattern,Delayed retry queue,Retry failed jobs after delay without blocking workers,Email webhooks external APIs and transient failures,Retry delays can hide urgent failures,Use exponential backoff queues and max attempts,delayed retry queue backoff,SQS,https://architecture.example.com/pattern/delayed-retry-queue,engineering-blog,2026-05-04,any,any,medium,medium
21,pattern,Exactly-once effect,Achieve practical exactly-once through idempotent writes,At-least-once delivery systems with side effects,True exactly-once is rarely available end to end,Use dedupe keys unique constraints and transactional writes,exactly once idempotent at least once,Data Intensive Applications,https://architecture.example.com/pattern/exactly-once-effect,engineering-blog,2026-05-04,any,any,medium,medium
22,pattern,Transactional job enqueue,Enqueue job only if database transaction commits,Work triggered by domain state changes,Naive enqueue can run before commit,Use outbox or transaction-aware enqueue hook,transactional enqueue job commit,Sidekiq,https://architecture.example.com/pattern/transactional-job-enqueue,engineering-blog,2026-05-04,any,any,medium,medium
23,pattern,Progress tracking table,Track long job progress and resumability,Imports exports backfills and media processing,Adds state writes,Store status percentage checkpoint error and timestamps,job progress checkpoint import export,Operations,https://architecture.example.com/pattern/progress-tracking-table,engineering-blog,2026-05-04,any,any,medium,medium
24,pattern,Cancellable job,Allow users or operators to cancel long work,Reports imports ML jobs and exports,Requires cooperative cancellation,Check cancellation flag between chunks and persist canceled state,cancel job long running worker,Temporal,https://architecture.example.com/pattern/cancellable-job,engineering-blog,2026-05-04,any,any,medium,medium
25,pattern,Rate-limited worker,Throttle calls to external APIs from workers,Third-party APIs email SMS and payment providers,Can increase queue latency,Use token bucket per provider or tenant,worker rate limit external api,Google SRE,https://architecture.example.com/pattern/rate-limited-worker,engineering-blog,2026-05-04,any,any,medium,medium
26,pattern,Fan-in aggregator,Combine many events into one summarized result,Analytics notifications and workflow completion,Requires timeout and missing event handling,Track expected events and emit aggregate when complete,fan in aggregator event,Enterprise Integration Patterns,https://architecture.example.com/pattern/fan-in-aggregator,engineering-blog,2026-05-04,any,any,medium,medium
27,pattern,Fan-out topic,Publish one event to multiple independent consumers,Domain events analytics email search and audit,Consumers need independent failure handling,Use topic or stream with consumer groups,fan out topic event consumer,PubSub,https://architecture.example.com/pattern/fan-out-topic,engineering-blog,2026-05-04,any,any,medium,medium
28,pattern,Worker heartbeat,Detect stuck jobs and reclaim safely,Long-running workers and distributed job systems,False positives can duplicate work,Update heartbeat and reclaim only idempotent jobs,worker heartbeat stuck job reclaim,Temporal,https://architecture.example.com/pattern/worker-heartbeat,engineering-blog,2026-05-04,any,any,medium,medium
29,pattern,Job uniqueness,Prevent duplicate queued jobs for same resource,Exports imports sync and scheduled tasks,Uniqueness window can block legitimate reruns,Use unique key with TTL and explicit override,unique job dedupe queue,BullMQ,https://architecture.example.com/pattern/job-uniqueness,engineering-blog,2026-05-04,any,any,medium,medium
30,pattern,Out-of-order event handling,Handle events that arrive out of sequence,Distributed event systems and replicated sources,Requires version or timestamp logic,Store version and ignore stale events or rebuild projection,out of order event version projection,Event Sourcing,https://architecture.example.com/pattern/out-of-order-event-handling,engineering-blog,2026-05-04,any,any,medium,medium
