id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
15,contracts,Consumer-driven contract tests,Verify providers do not break client expectations,Microservices and independently deployed clients,Requires maintaining useful consumer contracts,Run contract tests in CI before deploy and version breaking changes,pact contract test provider consumer,Pact,https://architecture.example.com/pattern/consumer-driven-contract-tests,engineering-blog,2026-05-04,any,any,medium,medium
16,filtering,Explicit filtering DSL,Constrain supported filters sorts and includes,List endpoints with user filters search and reporting,Too much flexibility can create slow queries,Whitelist fields operators and index-supported combinations,filter sort include query api whitelist,Microsoft REST Guidelines,https://architecture.example.com/pattern/explicit-filtering-dsl,engineering-blog,2026-05-04,any,any,medium,medium
17,contract,JSON Merge Patch,Partial update format for resource fields,Simple PATCH endpoints with nullable field semantics,Ambiguous for array operations and explicit null handling,Use content type application merge patch and validate patched resource,patch partial update merge json,RFC 7396,https://architecture.example.com/pattern/json-merge-patch,official-docs,2026-05-04,any,any,medium,medium
18,contract,JSON Patch,Operation based partial update for precise changes,Complex document edits arrays and collaborative resource changes,More complex to validate and authorize per operation,Validate every operation path and apply against current version,json patch operation replace add remove,RFC 6902,https://architecture.example.com/pattern/json-patch,official-docs,2026-05-04,any,any,medium,medium
19,performance,Response compression,Compress text responses to reduce transfer size,Large JSON HTML GraphQL and public API responses,CPU cost and compression side channels need care,Use gzip or brotli for text and avoid compressing secrets with attacker input,compression gzip brotli response,MDN HTTP Compression,https://architecture.example.com/pattern/response-compression,engineering-blog,2026-05-04,any,any,medium,medium
20,performance,ETag conditional requests,Avoid sending unchanged resources,Read-heavy resources docs profiles catalog and config,Requires stable validators and cache semantics,Return ETag and support If-None-Match with 304 responses,etag conditional request cache,http caching,https://architecture.example.com/pattern/etag-conditional-requests,engineering-blog,2026-05-04,any,any,medium,medium
21,limits,Request size limits,Reject oversized payloads before expensive parsing,File metadata JSON APIs webhook receivers and public endpoints,Too small limits can block valid clients,Set per-route body limits and stream large uploads elsewhere,request body limit payload upload,RFC 9110,https://architecture.example.com/pattern/request-size-limits,official-docs,2026-05-04,any,any,medium,medium
22,limits,API rate-limit headers,Expose quota state to well-behaved clients,Public APIs partner APIs and tenant quota endpoints,May reveal some capacity information,Return RateLimit-Limit RateLimit-Remaining and RateLimit-Reset,rate limit headers quota api,RFC 9333,https://architecture.example.com/pattern/api-rate-limit-headers,official-docs,2026-05-04,any,any,medium,medium
23,security,Idempotent PUT semantics,Make full replacement writes safe to repeat,Resource replacement endpoints and infrastructure style APIs,Harder when writes trigger side effects,Ensure same request can be replayed without duplicate effects,put idempotent resource update,http semantics,https://architecture.example.com/pattern/idempotent-put-semantics,engineering-blog,2026-05-04,any,any,medium,medium
24,batch,Batch endpoint with item results,Process many small operations in one request,Bulk admin actions imports and sync APIs,Can hide partial failures and create large transactions,Return per-item status and cap batch size,batch api bulk operation item result,Google API Design,https://architecture.example.com/pattern/batch-endpoint-with-item-results,engineering-blog,2026-05-04,any,any,medium,medium
25,webhook,Webhook subscription API,Allow clients to register callback endpoints,Platforms integrations and event notification systems,Requires delivery security retry and lifecycle management,Verify ownership sign payloads and expose retry status,webhook subscription callback event api,Webhook Standard,https://architecture.example.com/pattern/webhook-subscription-api,engineering-blog,2026-05-04,any,any,medium,medium
26,webhook,Webhook delivery log API,Expose delivery attempts and failures to integrators,Developer platforms billing and automation products,Requires storing delivery metadata safely,Store status attempts response code and redacted response excerpt,webhook delivery log retry attempt,Stripe Webhooks,https://architecture.example.com/pattern/webhook-delivery-log-api,engineering-blog,2026-05-04,any,any,medium,medium
27,auth,Machine token API,Issue scoped credentials for service accounts,Automation CI integrations and server-to-server calls,Token lifecycle needs rotation and audit,Use scoped tokens expiry rotation and last used metadata,machine token api service account,OAuth Client Credentials,https://architecture.example.com/pattern/machine-token-api,engineering-blog,2026-05-04,any,any,medium,medium
28,auth,OAuth client credentials flow,Authenticate machine-to-machine integrations,Partner APIs internal services and automation,No user context unless explicitly modeled,Use least privilege scopes and client secret rotation,oauth client credentials machine api,RFC 6749,https://architecture.example.com/pattern/oauth-client-credentials-flow,official-docs,2026-05-04,any,any,medium,medium
29,compatibility,Deprecation headers,Warn clients about API sunset and migrations,Public APIs with planned endpoint changes,Requires policy and client communication,Return Deprecation Sunset and Link headers with migration docs,deprecation sunset api version,RFC 8594,https://architecture.example.com/pattern/deprecation-headers,official-docs,2026-05-04,any,any,medium,medium
30,compatibility,API changelog contract,Publish behavioral and schema changes,External APIs SDKs and partner integrations,Needs release discipline,Document additions deprecations breaking changes and migration windows,api changelog migration contract,OpenAPI,https://architecture.example.com/pattern/api-changelog-contract,engineering-blog,2026-05-04,any,any,medium,medium
31,graphql,GraphQL persisted queries,Allow only registered query hashes in production,Public GraphQL APIs mobile apps and high-traffic clients,Adds build or registration workflow,Store approved query hashes and reject unknown expensive queries,graphql persisted query security performance,Apollo,https://architecture.example.com/pattern/graphql-persisted-queries,engineering-blog,2026-05-04,any,any,medium,medium
32,graphql,GraphQL query complexity limit,Prevent expensive nested queries from exhausting resources,GraphQL endpoints with flexible clients,Complexity scoring must match resolver cost,Set depth node and cost budgets per role or client,graphql complexity depth limit,GraphQL Security,https://architecture.example.com/pattern/graphql-query-complexity-limit,engineering-blog,2026-05-04,any,any,medium,medium
33,grpc,Deadline propagation,Propagate request deadlines through gRPC calls,Internal RPC chains and latency-sensitive services,Requires every caller and callee to respect context,Reject work after deadline and include deadline in downstream calls,grpc deadline timeout context,grpc.io,https://architecture.example.com/pattern/deadline-propagation,engineering-blog,2026-05-04,any,any,medium,medium
34,grpc,Protobuf field reservation,Prevent accidental reuse of removed fields,Long-lived protobuf contracts and multi-version clients,Requires schema discipline,Reserve removed field numbers and names in proto files,protobuf reserve field compatibility,Protocol Buffers,https://architecture.example.com/pattern/protobuf-field-reservation,engineering-blog,2026-05-04,any,any,medium,medium
35,realtime,Connection heartbeat,Detect dead real-time clients and intermediaries,WebSocket SSE and long polling systems,Heartbeat traffic adds overhead,Send ping or heartbeat and close stale connections,websocket heartbeat sse connection,RFC 6455,https://architecture.example.com/pattern/connection-heartbeat,official-docs,2026-05-04,any,any,medium,medium
36,realtime,Backpressure-aware streaming,Slow down or disconnect clients that cannot keep up,Real-time feeds logs and event streams,Can drop slow clients under load,Bound buffers and define drop replay or disconnect policy,stream backpressure websocket sse,Reactive Streams,https://architecture.example.com/pattern/backpressure-aware-streaming,engineering-blog,2026-05-04,extreme,medium,high,high
37,docs,SDK generation boundary,Generate client SDKs from stable contracts,Public APIs with many consumers,Generated SDKs can expose poor API design,Generate from OpenAPI or protobuf after contract review,sdk generation openapi protobuf,OpenAPI Generator,https://architecture.example.com/pattern/sdk-generation-boundary,engineering-blog,2026-05-04,any,any,medium,medium
38,testing,Golden API examples,Keep canonical request and response examples in tests,Public APIs docs and regression prevention,Examples can become stale without CI,Validate examples against schema and docs,golden example api contract test,OpenAPI,https://architecture.example.com/pattern/golden-api-examples,engineering-blog,2026-05-04,any,any,medium,medium
39,localization,Localized error messages,Return stable error codes with optional localized messages,Consumer apps and international products,Server localization can complicate clients,Expose stable machine code and keep localization separate,error code localization api,Microsoft REST Guidelines,https://architecture.example.com/pattern/localized-error-messages,engineering-blog,2026-05-04,any,any,medium,medium
40,privacy,Data minimization response,Return only fields needed by the client,PII-heavy APIs and public endpoints,May require multiple DTOs per use case,Use explicit response DTOs and avoid returning persistence entities,api data minimization dto pii,OWASP ASVS,https://architecture.example.com/pattern/data-minimization-response,engineering-blog,2026-05-04,any,any,medium,medium
